1216 itens	Não encontrado	Semelhante	Encontrado	Total
\textbf{Leitura incorreta}	\SI{073.0}{\percent}	\SI{000.0}{\percent}	\SI{000.0}{\percent}	\SI{073.0}{\percent}
\textbf{Leitura parcial}	\SI{000.5}{\percent}	\SI{000.5}{\percent}	\SI{000.6}{\percent}	\SI{001.6}{\percent}
\textbf{Leitura correta}	\SI{001.1}{\percent}	\SI{000.2}{\percent}	\SI{024.2}{\percent}	\SI{025.4}{\percent}
\textbf{Total}	\SI{074.6}{\percent}	\SI{000.7}{\percent}	\SI{024.8}{\percent}	\SI{100.0}{\percent}
