1216 itens	Não encontrado	Semelhante	Encontrado	Total
\textbf{Leitura incorreta}	\SI{019.8}{\percent}	\SI{000.0}{\percent}	\SI{000.0}{\percent}	\SI{019.8}{\percent}
\textbf{Leitura parcial}	\SI{001.9}{\percent}	\SI{001.0}{\percent}	\SI{000.2}{\percent}	\textbf{\SI{003.1}{\percent}}
\textbf{Leitura correta}	\SI{008.2}{\percent}	\SI{001.4}{\percent}	\SI{067.4}{\percent}	\textbf{\SI{077.1}{\percent}}
\textbf{Total}	\SI{029.9}{\percent}	\SI{002.4}{\percent}	\SI{067.7}{\percent}	\SI{100.0}{\percent}
