328 itens	Não encontrado	Semelhante	Encontrado	Total
\textbf{Leitura parcial}	\SI{001.8}{\percent}	\SI{001.8}{\percent}	\SI{002.1}{\percent}	\SI{005.8}{\percent}
\textbf{Leitura correta}	\SI{004.0}{\percent}	\SI{000.6}{\percent}	\SI{089.6}{\percent}	\SI{094.2}{\percent}
\textbf{Total}	\SI{005.8}{\percent}	\SI{002.4}{\percent}	\SI{091.8}{\percent}	\SI{100.0}{\percent}
